name,id,lat,lon,PostalCode,City,formattedAddress,type
Hôtel ibis Paris Issy-les-Moulineaux Val de Seine,4caa25212776b60ca80a450d,48.822307367357325,2.257765531539917,92130,Issy-les-Moulineaux,"['213 rue Jean Jacques Rousseau', '92130 Issy-les-Moulineaux', 'France']",Hotel
restaurant manaslu,5c6ad07f60255e002d10ed02,48.82144890000001,2.2535766,92130,Issy-les-Moulineaux,"['5 Rue Aristide Briand', '92130 Issy-les-Moulineaux', 'France']",Resort
Ibis Budget,51949c60e4b0f0af6a9e2792,48.817424,2.24849,92190,Meudon,"['3 bis rue de Paris', '92190 Meudon', 'France']",Hotel
Campanile,4b1b5f19f964a52017fb23e3,48.822465718340226,2.259433438482606,,Paris,"['Jean jacques Rousseau', 'Paris', 'France']",Hotel
Hotel Prissy,4cbe82edb6c4224bfdc9ed94,48.820193,2.248852,,,['France'],Bed & Breakfast
Beau Séjour,5568c8f1498e5bcca2fa663c,48.82358300973217,2.264858214699812,,,['France'],Bed & Breakfast
Parissy Chambre d'hôtes / Bed & Breakfast,4cbef7870cc4b7132a6fecf7,48.819226275178934,2.2492182073238847,92130,Issy-les-Moulineaux,"['14 rue de meudon', '92130 Issy-les-Moulineaux', 'France']",Bed & Breakfast
ibis Budget Meudon,4be83feed837c9b68a14a506,48.81740184922799,2.248640956243311,92190,Meudon,"['3 bis rue de Paris', '92190 Meudon', 'France']",Hotel
ibis Budget,4f191ec1e4b02a5a23ac9186,48.820964684989896,2.251652392289694,,,['France'],Hotel
Hotel Novotel Suites Paris Issy les Moulineaux,4e64c6c5483bd9a9754fcca4,48.828867396672514,2.263139507607503,92130,Issy-les-Moulineaux,"['86  rue Camille Desmoulins (Rue Rouget de Lisle)', '92130 Issy-les-Moulineaux', 'France']",Hotel
Ibis Budget,50e5ee72e4b0650b9c823f3a,48.824220034837445,2.2605222987278673,92130,Issy-les-Moulineaux,"['12 Rue Jacques-henri Lartigue | ZAC Garibaldi (Issy-les-Moulineaux)', '92130 Issy-les-Moulineaux', 'France']",Hotel
Taj Palace,4cba459cadcd54816f3622a2,48.828479,2.26689,,Issy-les-Moulineaux,"['58 bvd Gallieni', 'Issy-les-Moulineaux', 'France']",Hotel
Ibis Styles Paris 16 Sud,5a1459752347243478ea8354,48.83649,2.2534046,75016,Paris,"['19 Avenue Ferdinand Buisson', '75016 Paris', 'France']",Hotel
Radisson Blu Hôtel Paris Boulogne,4adcda03f964a520c53121e3,48.83623314686507,2.252894626983675,92100,Paris,"['31-33 Avenue Edouard Vaillant', '92100 Paris', 'France']",Hotel
Holiday Inn Paris-Auteuil,4e7bd11352b14ada783cf874,48.8379973,2.2585556,75016,Paris,"['21 rue Gudin', '75016 Paris', 'France']",Hotel
Mercure Paris Porte de St Cloud,4adcda03f964a520da3121e3,48.833984048781524,2.2561302120815,92100,Boulogne-Billancourt,"['37 place René Clair', '92100 Boulogne-Billancourt', 'France']",Hotel
Best Western Hotel Ohm,4fa63c79e4b0ac15d052ed5c,48.83936449093261,2.263396829366684,75016,Paris,"['11 rue Claude Terrasse', '75016 Paris', 'France']",Hotel
Hotel Exelmans,4bd7321a304fce72b53333ab,48.841358063837085,2.262674921899631,75016,Paris,"['73 Rue Boileau', '75016 Paris', 'France']",Hotel
Cabernet Sauvignon Conference Room,5c34964e286fda002c3274e1,48.836437,2.2529187,92100,Boulogne-Billancourt,"['92100 Boulogne-Billancourt', 'France']",Hotel
P L R,51b8b524498e254ce6738de3,48.83816909790039,2.2543423175811768,,,['France'],Resort
Pinot Noir Conference Room,5c34ee40121384002c9c1c91,48.836304,2.252883,92100,Boulogne-Billancourt,"['92100 Boulogne-Billancourt', 'France']",Hotel
Le Grind,4df7b89c81dccac4a339022d,48.842604696790836,2.259664535522461,,Paris,"['Bd. Exelmans', 'Paris', 'France']",Hotel
Hôtel Murat,4bc8d278762beee1208f3d38,48.837322617909855,2.2587996218198207,75016,Paris,"['119 bis boulevard Murat', '75016 Paris', 'France']",Hotel
Hotel Acropolis,50375b51e4b0024b233c66f0,48.83593262805668,2.2492367308869685,,,['France'],Hotel
Holiday Inn Paris Auteil,55956313498e77c4076f507a,48.837965974054526,2.2584394611784866,,,['France'],Hotel
Sakura Hotel,4c488b160f5aa5932f9d8176,48.83557,2.249558,,Tokyo,"['Tokyo', 'France']",Hotel
Hôtel Printania,540f8936498eb9a90f99641d,48.83611297607422,2.2506566047668457,,Boulogne-Billancourt,"['48 Avenue Édouard Vaillant', 'Boulogne-Billancourt', 'France']",Hotel
Hommes Excel Proche Du Palais Du Roi,4ec41d159adf106751c8ae05,48.84063354409864,2.265574618759072,,Paris,"['Paris', 'France']",Bed & Breakfast
Hôtel À l'Orée du Parc,58a3ea91fc73d422d5847d55,48.838286243361,2.258576018856774,75016,Paris,"['215 avenue de Versailles', '75016 Paris', 'France']",Hotel
