name,id,lat,lon,PostalCode,City,formattedAddress,type,ZipCodeTrue,Arr,nblike,google_id
Hôtel ibis Paris Issy-les-Moulineaux Val de Seine,4caa25212776b60ca80a450d,48.82230736735733,2.257765531539917,92130,Issy-les-Moulineaux,"['213 rue Jean Jacques Rousseau', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,13,ChIJZ-1W_ot65kcRyaqLdxZk_AE
restaurant manaslu,5c6ad07f60255e002d10ed02,48.82144890000001,2.2535766,92130,Issy-les-Moulineaux,"['5 Rue Aristide Briand', '92130 Issy-les-Moulineaux', 'France']",Resort,92130,0,0,ChIJixaqBvR75kcRDbF5Op7UFa4
Ibis Budget,51949c60e4b0f0af6a9e2792,48.817424,2.2484900000000003,92190,Meudon,"['3 bis rue de Paris', '92190 Meudon', 'France']",Hotel,92190,0,1,ChIJf4SGHo965kcR4jhESGbg6Ts
Campanile,4b1b5f19f964a52017fb23e3,48.822465718340226,2.259433438482606,,Paris,"['Jean jacques Rousseau', 'Paris', 'France']",Hotel,92130,0,0,ChIJw3o-Oxtw5kcRA4YML64zIEo
Hotel Prissy,4cbe82edb6c4224bfdc9ed94,48.820192999999996,2.248852,,,['France'],Bed & Breakfast,92130,0,0,
Beau Séjour,5568c8f1498e5bcca2fa663c,48.82358300973217,2.264858214699812,,,['France'],Bed & Breakfast,92130,0,0,ChIJV6X0xoV65kcRgSpAguPmFxs
Parissy Chambre d'hôtes / Bed & Breakfast,4cbef7870cc4b7132a6fecf7,48.81922627517893,2.2492182073238847,92130,Issy-les-Moulineaux,"['14 rue de meudon', '92130 Issy-les-Moulineaux', 'France']",Bed & Breakfast,92130,0,0,
ibis Budget Meudon,4be83feed837c9b68a14a506,48.81740184922799,2.248640956243311,92190,Meudon,"['3 bis rue de Paris', '92190 Meudon', 'France']",Hotel,92190,0,2,ChIJ30nUnF965kcRWutyRe2AHd8
ibis Budget,4f191ec1e4b02a5a23ac9186,48.8209646849899,2.251652392289694,,,['France'],Hotel,92130,0,0,ChIJf4SGHo965kcR4jhESGbg6Ts
Hotel Novotel Suites Paris Issy les Moulineaux,4e64c6c5483bd9a9754fcca4,48.82886739667251,2.263139507607503,92130,Issy-les-Moulineaux,"['86  rue Camille Desmoulins (Rue Rouget de Lisle)', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,42,ChIJEcdqnpp65kcRQcfSh8bG_AM
Ibis Budget,50e5ee72e4b0650b9c823f3a,48.82422003483745,2.2605222987278677,92130,Issy-les-Moulineaux,"['12 Rue Jacques-henri Lartigue | ZAC Garibaldi (Issy-les-Moulineaux)', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,9,ChIJf4SGHo965kcR4jhESGbg6Ts
