name,id,lat,lon,PostalCode,City,formattedAddress,type,ZipCodeTrue,Arr,nblike,google_id,google_name,google_rating,google_nbrating,google_address,google_type,google_lat,google_lon,distance
Hôtel ibis Paris Issy-les-Moulineaux Val de Seine,4caa25212776b60ca80a450d,48.82230736735733,2.257765531539917,92130,Issy-les-Moulineaux,"['213 rue Jean Jacques Rousseau', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,13,ChIJZ-1W_ot65kcRyaqLdxZk_AE,Hotel ibis Paris Issy Les Moulineaux Val de Seine,3.8,619,"213 Rue Jean Jacques Rousseau, 92130 Issy-les-Moulineaux, France","['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8223065,2.257805,0.0028998421497850664
restaurant manaslu,5c6ad07f60255e002d10ed02,48.82144890000001,2.2535766,92130,Issy-les-Moulineaux,"['5 Rue Aristide Briand', '92130 Issy-les-Moulineaux', 'France']",Resort,92130,0,0,ChIJixaqBvR75kcRDbF5Op7UFa4,restaurant manaslu,4.6,47,"5 Rue Aristide Briand, 92130 Issy-les-Moulineaux, France","['restaurant', 'food', 'point_of_interest', 'establishment']",48.8214542,2.2535793,0.0006218480897907403
Ibis Budget,51949c60e4b0f0af6a9e2792,48.817424,2.2484900000000003,92190,Meudon,"['3 bis rue de Paris', '92190 Meudon', 'France']",Hotel,92190,0,1,ChIJf4SGHo965kcR4jhESGbg6Ts,Hotel ibis budget Issy Les Moulineaux Paris Ouest,3.6,892,"ZAC Garibaldi, 12 Rue Jacques-Henri Lartigue, 92130 Issy-les-Moulineaux, France","['lodging', 'point_of_interest', 'establishment']",48.8242587,2.2606761,1.17409127892651
Campanile,4b1b5f19f964a52017fb23e3,48.822465718340226,2.259433438482606,,Paris,"['Jean jacques Rousseau', 'Paris', 'France']",Hotel,92130,0,0,ChIJw3o-Oxtw5kcRA4YML64zIEo,Campanile Paris 15 - Tour Eiffel,3.2,637,"30 Rue Saint-Charles, 75015 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8505241,2.288784300000001,3.7919327456814953
Hotel Prissy,4cbe82edb6c4224bfdc9ed94,48.820192999999996,2.248852,,,['France'],Bed & Breakfast,92130,0,0,,,,,,,,,['']
Beau Séjour,5568c8f1498e5bcca2fa663c,48.82358300973217,2.264858214699812,,,['France'],Bed & Breakfast,92130,0,0,ChIJV6X0xoV65kcRgSpAguPmFxs,Beau Séjour,4.9,15,"8 Allée des Coutures, 92130 Issy-les-Moulineaux, France","['lodging', 'point_of_interest', 'establishment']",48.8236186,2.2648252,0.004641307403796652
Parissy Chambre d'hôtes / Bed & Breakfast,4cbef7870cc4b7132a6fecf7,48.81922627517893,2.2492182073238847,92130,Issy-les-Moulineaux,"['14 rue de meudon', '92130 Issy-les-Moulineaux', 'France']",Bed & Breakfast,92130,0,0,,,,,,,,,['']
ibis Budget Meudon,4be83feed837c9b68a14a506,48.81740184922799,2.248640956243311,92190,Meudon,"['3 bis rue de Paris', '92190 Meudon', 'France']",Hotel,92190,0,2,ChIJ30nUnF965kcRWutyRe2AHd8,Hotel ibis budget Meudon Paris Ouest,3.7,369,"3bis Rue de Paris, 92190 Meudon, France","['lodging', 'point_of_interest', 'establishment']",48.8173304,2.2488954,0.020305226354822983
ibis Budget,4f191ec1e4b02a5a23ac9186,48.8209646849899,2.251652392289694,,,['France'],Hotel,92130,0,0,ChIJf4SGHo965kcR4jhESGbg6Ts,Hotel ibis budget Issy Les Moulineaux Paris Ouest,3.6,892,"ZAC Garibaldi, 12 Rue Jacques-Henri Lartigue, 92130 Issy-les-Moulineaux, France","['lodging', 'point_of_interest', 'establishment']",48.8242587,2.2606761,0.757136329871596
Hotel Novotel Suites Paris Issy les Moulineaux,4e64c6c5483bd9a9754fcca4,48.82886739667251,2.263139507607503,92130,Issy-les-Moulineaux,"['86  rue Camille Desmoulins (Rue Rouget de Lisle)', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,42,ChIJEcdqnpp65kcRQcfSh8bG_AM,Hotel Novotel Suites Paris Issy les Moulineaux,4.1,519,"86 Rue Camille Desmoulins, 92130 Issy-les-Moulineaux, France","['meal_takeaway', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8288831,2.2631669,0.002663561433745719
Ibis Budget,50e5ee72e4b0650b9c823f3a,48.82422003483745,2.2605222987278677,92130,Issy-les-Moulineaux,"['12 Rue Jacques-henri Lartigue | ZAC Garibaldi (Issy-les-Moulineaux)', '92130 Issy-les-Moulineaux', 'France']",Hotel,92130,0,9,ChIJf4SGHo965kcR4jhESGbg6Ts,Hotel ibis budget Issy Les Moulineaux Paris Ouest,3.6,892,"ZAC Garibaldi, 12 Rue Jacques-Henri Lartigue, 92130 Issy-les-Moulineaux, France","['lodging', 'point_of_interest', 'establishment']",48.8242587,2.2606761,0.012084312839520954
Taj Palace,4cba459cadcd54816f3622a2,48.828478999999994,2.26689,,Issy-les-Moulineaux,"['58 bvd Gallieni', 'Issy-les-Moulineaux', 'France']",Hotel,92130,0,0,ChIJYY-RrxPZ5UcRie-0uWao9lA,Taj Palace,4.1,157,"114 Route Sainte Geneviève, 91240 Saint-Michel-sur-Orge, France","['restaurant', 'food', 'point_of_interest', 'establishment']",48.638503,2.319064,21.47199172224028
Ibis Styles Paris 16 Sud,5a1459752347243478ea8354,48.836490000000005,2.2534046,75016,Paris,"['19 Avenue Ferdinand Buisson', '75016 Paris', 'France']",Hotel,92100,0,5,ChIJZwAJN5V65kcR33biUviilIY,Hotel ibis Styles Paris 16 Boulogne,4.2,333,"19 Avenue Ferdinand Buisson, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8364216,2.2534435,0.008124915696972126
Radisson Blu Hôtel Paris Boulogne,4adcda03f964a520c53121e3,48.83623314686507,2.2528946269836747,92100,Paris,"['31-33 Avenue Edouard Vaillant', '92100 Paris', 'France']",Hotel,92100,0,64,ChIJBxcBzOp65kcRwFG5ankIEmU,"Radisson Blu Hotel, Paris Boulogne",4.2,728,"31-33 Avenue Edouard Vaillant, 92100 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8362331,2.2528946,5.5754702082926835e-06
Holiday Inn Paris-Auteuil,4e7bd11352b14ada783cf874,48.8379973,2.2585556,75016,Paris,"['21 rue Gudin', '75016 Paris', 'France']",Hotel,75016,16,12,ChIJVx7YA7565kcRC1rxyKhvhhY,Holiday Inn Paris - Auteuil,4,188,"21 Rue Gudin, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8379973,2.2585556,0.0
Mercure Paris Porte de St Cloud,4adcda03f964a520da3121e3,48.83398404878152,2.2561302120815,92100,Boulogne-Billancourt,"['37 place René Clair', '92100 Boulogne-Billancourt', 'France']",Hotel,92100,0,22,ChIJHQcOX5R65kcRQI7zSPq8JY8,Mercure Paris Boulogne Hotel,4.1,829,"37 Place René Clair, 92100 Boulogne-Billancourt, France","['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.83366660000001,2.2565382,0.046296906481991994
Best Western Hotel Ohm,4fa63c79e4b0ac15d052ed5c,48.83936449093261,2.263396829366684,75016,Paris,"['11 rue Claude Terrasse', '75016 Paris', 'France']",Hotel,75016,16,5,ChIJve3uPb165kcRogkGe9cCI9M,Hôtel Ohm by HappyCulture™,3.7,285,"11 Rue Claude Terrasse, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8393912,2.2631762,0.016465805734131336
Hotel Exelmans,4bd7321a304fce72b53333ab,48.84135806383709,2.262674921899631,75016,Paris,"['73 Rue Boileau', '75016 Paris', 'France']",Hotel,75016,16,2,ChIJ81vJkrx65kcRFb3Z4Veu26o,Hôtel Exelmans,2.9,240,"73 Rue Boileau, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8414475,2.2627108,0.010288667107225357
Cabernet Sauvignon Conference Room,5c34964e286fda002c3274e1,48.836437,2.2529187000000004,92100,Boulogne-Billancourt,"['92100 Boulogne-Billancourt', 'France']",Hotel,92100,0,0,,,,,,,,,['']
P L R,51b8b524498e254ce6738de3,48.83816909790039,2.2543423175811768,,,['France'],Resort,75016,16,0,ChIJVVXBj-565kcRg3L0Z0Akt8g,Plr Holding,,,"89 Rue du Dôme, 92100 Boulogne-Billancourt, France","['point_of_interest', 'establishment']",48.83106459999999,2.2462077,0.9903758988061613
Pinot Noir Conference Room,5c34ee40121384002c9c1c91,48.836304,2.252883,92100,Boulogne-Billancourt,"['92100 Boulogne-Billancourt', 'France']",Hotel,92100,0,0,,,,,,,,,['']
