,name,id,lat,lon,PostalCode,City,formattedAddress,type,ZipCodeTrue,Arr,nblike,google_id,google_name,google_rating,google_nbrating,google_address,google_type,google_lat,google_lon,distance,cluster_labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,marker_color
12,Ibis Styles Paris 16 Sud,5a1459752347243478ea8354,48.83649000000001,2.2534046,75016,Paris,"['19 Avenue Ferdinand Buisson', '75016 Paris', 'France']",Hotel,92100,0,5,ChIJZwAJN5V65kcR33biUviilIY,Hotel ibis Styles Paris 16 Boulogne,4.2,333.0,"19 Avenue Ferdinand Buisson, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8364216,2.2534435,0.008124915696972126,1,Japanese Restaurant,Spa,Hotel,Bistro,Fish Market,Ethiopian Restaurant,Exhibit,Fabric Shop,Falafel Restaurant,Farmers Market,blue
16,Best Western Hotel Ohm,4fa63c79e4b0ac15d052ed5c,48.83936449093261,2.263396829366684,75016,Paris,"['11 rue Claude Terrasse', '75016 Paris', 'France']",Hotel,75016,16,5,ChIJve3uPb165kcRogkGe9cCI9M,Hôtel Ohm by HappyCulture™,3.7,285.0,"11 Rue Claude Terrasse, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8393912,2.2631762,0.016465805734131336,0,Japanese Restaurant,Seafood Restaurant,Market,Paper / Office Supplies Store,Café,Asian Restaurant,Supermarket,Middle Eastern Restaurant,French Restaurant,Italian Restaurant,red
17,Hotel Exelmans,4bd7321a304fce72b53333ab,48.84135806383709,2.262674921899631,75016,Paris,"['73 Rue Boileau', '75016 Paris', 'France']",Hotel,75016,16,2,ChIJ81vJkrx65kcRFb3Z4Veu26o,Hôtel Exelmans,2.9,240.0,"73 Rue Boileau, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8414475,2.2627108,0.010288667107225357,0,Japanese Restaurant,Vietnamese Restaurant,French Restaurant,Paper / Office Supplies Store,Café,Supermarket,Italian Restaurant,American Restaurant,Cosmetics Shop,Exhibit,red
22,Hôtel Murat,4bc8d278762beee1208f3d38,48.83732261790986,2.2587996218198207,75016,Paris,"['119 bis boulevard Murat', '75016 Paris', 'France']",Hotel,75016,16,2,ChIJZ_ny_ZV65kcRSYBNOaEfoFI,HOTEL MURAT,3.2,225.0,"119 Boulevard Murat, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8374659,2.2586703999999993,0.018543901846395698,1,Hotel,French Restaurant,Bistro,Middle Eastern Restaurant,Bus Stop,Bar,Pizza Place,Plaza,Japanese Restaurant,Bakery,blue
34,Queen's Hotel Paris,4be1a37e8dd062b56f6f3e3c,48.8485003,2.2662028,,Paris,"['4 Rue Bastien Lepage', 'Paris', 'France']",Hotel,75016,16,5,ChIJF0KY7q965kcRtNf616LY5JA,Queen's Hotel Paris,4.0,85.0,"4 Rue Bastien Lepage, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.84861919999999,2.266162,0.01355732056797454,0,French Restaurant,Café,Dessert Shop,Bakery,Pharmacy,Asian Restaurant,Pizza Place,Supermarket,Market,Italian Restaurant,red
36,Hôtel Poussin,4adcda01f964a520443121e3,48.84855962396424,2.2612981561640955,75016,Paris,"['52 rue Poussin', '75016 Paris', 'France']",Hotel,75016,16,3,ChIJB-LilrB65kcRP67BrTsA5S8,Hôtel Poussin,3.1,92.0,"52 Rue Poussin, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8485684,2.261247,0.0038792954155711427,0,French Restaurant,Japanese Restaurant,Supermarket,Gym / Fitness Center,Middle Eastern Restaurant,Flower Shop,Brewery,Brasserie,Italian Restaurant,Arcade,red
72,Hôtel Océania Paris Porte de Versailles,4baf8af1f964a520ec083ce3,48.83045019514152,2.284402596545703,75015,Paris,"[""52 rue d'Oradour-sur-Glâne"", '75015 Paris', 'France']",Hotel,92130,0,67,ChIJk0QEunFw5kcRZWlV5S9F5rY,Hôtel Oceania Paris Porte de Versailles,4.1,1343.0,"52 Rue d'Oradour-sur-Glane, 75015 Paris, France","['night_club', 'bar', 'lodging', 'point_of_interest', 'establishment']",48.8303023,2.2842872000000005,0.018500865232557614,1,Japanese Restaurant,Hotel,Pizza Place,Park,Convenience Store,Sushi Restaurant,French Restaurant,Hotel Bar,Falafel Restaurant,Electronics Store,blue
73,OKKO HOTELS Paris Porte de Versailles,5932b8ed4aa3f81b1c3eb1a2,48.83271665905608,2.278323355915408,75015,Paris,"['2 rue du Colonel Avia', '75015 Paris', 'France']",Hotel,75015,15,29,ChIJoe6UJXRw5kcROzDW8BFoEHA,Okko Hotels Paris Porte De Versailles,4.5,614.0,"2 Rue du Colonel Pierre Avia, 75015 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8325632,2.2781527,0.02117100914069802,0,Japanese Restaurant,Hotel,Sporting Goods Shop,Pizza Place,Bar,Water Park,Food Court,Fast Food Restaurant,Food Truck,English Restaurant,red
76,Adagio City Aparthotel Paris XV,4adcda04f964a520053221e3,48.83086020048804,2.2820292399454414,75015,Paris,"[""20 rue d'Oradour-sur-Glane"", '75015 Paris', 'France']",Hotel,92130,0,22,ChIJMyacW3Fw5kcR9vedBNXSP1A,Aparthotel Adagio Paris XV,3.6,714.0,"20 Rue d'Oradour-sur-Glane, 75015 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.831139,2.282146,0.03216758158474287,1,Hotel,Japanese Restaurant,French Restaurant,Pizza Place,Roof Deck,Fast Food Restaurant,Empanada Restaurant,English Restaurant,Ethiopian Restaurant,Exhibit,blue
82,Hôtel Médian,4de56c79fa764cf4bec8372a,48.83617174312476,2.2790783643722534,75015,Paris,"['1 boulevard Victor', '75015 Paris', 'France']",Hotel,75015,15,14,ChIJdfIVOXVw5kcRPImm1OcJOlY,Hôtel Median Paris Porte de Versailles,3.9,523.0,"1 Boulevard Victor, 75015 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8361956,2.2787324,0.025535942177870072,0,French Restaurant,Pizza Place,Rental Car Location,Bus Stop,Metro Station,Supermarket,Chinese Restaurant,Tattoo Parlor,Sushi Restaurant,Pie Shop,red
83,Hôtel Porte de Versailles (PVH),4adcda03f964a520a93121e3,48.83501551388064,2.2823711565356994,75015,Paris,"['11 boulevard Victor', '75015 Paris', 'France']",Hotel,75015,15,9,ChIJTXrFjW1w5kcRmBFWuPvxhjo,Porte de Versailles Hôtel,4.0,186.0,"11 Boulevard Victor, 75015 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.835164000000006,2.282541,0.020691449113354864,0,Asian Restaurant,Japanese Restaurant,Hotel,Bike Rental / Bike Share,Pizza Place,Restaurant,Supermarket,Food & Drink Shop,Rental Car Location,Fondue Restaurant,red
95,Hôtel Novotel Paris Tour Eiffel,4adcda03f964a520eb3121e3,48.849661635672284,2.2836917638778687,75015,Paris,"['61 quai de Grenelle', '75015 Paris', 'France']",Hotel,75015,15,226,ChIJZxFlNARw5kcRcfKfmkPZows,Novotel Tour Eiffel Hotel,4.0,3183.0,"61 Quai de Grenelle, 75015 Paris, France","['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8498731,2.2831456,0.046472895975658915,0,Hotel,Clothing Store,Japanese Restaurant,Perfume Shop,Grocery Store,Lebanese Restaurant,Bar,Sporting Goods Shop,Salad Place,Bowling Alley,red
97,Hôtel Auteuil Tour Eiffel,4c5ac29867ac0f47dc6b074c,48.850503340950965,2.2754287482427813,75016,Paris,"['8-10 rue Félicien David', '75016 Paris', 'France']",Hotel,75016,16,30,ChIJg5hXyKl65kcR7akTh62Xq34,Hotel Auteuil Tour Eiffel,4.0,280.0,"8-10 Rue Félicien David, 75016 Paris, France","['spa', 'bar', 'health', 'lodging', 'point_of_interest', 'establishment']",48.850637,2.275293,0.017893753902569823,1,French Restaurant,Italian Restaurant,Hotel,Persian Restaurant,Auto Workshop,Bus Stop,Sandwich Place,Fish & Chips Shop,Exhibit,Fabric Shop,blue
98,Yooma Urban Lodge,5925b611a423626ef4d35b77,48.85084434916715,2.2848975557612925,75015,Paris,"['51 quai de Grenelle', '75015 Paris', 'France']",Hotel,75015,15,20,ChIJ5_-sRARw5kcRUyQsODbZQlU,YOOMA Urban Lodge,4.2,876.0,"51 Quai de Grenelle, 75015 Paris, France","['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8508301,2.284442,0.0334707899525676,1,Hotel,Gym / Fitness Center,Restaurant,Food Truck,Bar,Coffee Shop,Grocery Store,Fondue Restaurant,Fabric Shop,Food Court,blue
100,Hôtel Beaugrenelle Saint-Charles,4e84bdaa2fb6611bdfd7031e,48.847260910853535,2.285866829019482,75015,Paris,"['82 rue Saint Charles', '75015 Paris', 'France']",Hotel,75015,15,7,ChIJE_qtiw9w5kcRkhuOFnpPhXc,Hotel Beaugrenelle Saint Charles Tour Eiffel,3.8,233.0,"82 Rue Saint-Charles, 75015 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.847244,2.285906999999999,0.0034970691309479194,0,French Restaurant,Hotel,Fast Food Restaurant,Pizza Place,Bakery,Toy / Game Store,Department Store,Korean Restaurant,Sandwich Place,Asian Restaurant,red
101,Mercure Paris Plaza Pont Mirabeau,4db35c604b226b343d778c10,48.84640116077214,2.278825610534685,75015,Paris,"['10 avenue Émile Zola (Pont Mirabeau)', '75015 Paris', 'France']",Hotel,75015,15,20,ChIJvQlIXghw5kcRW28lcJdRWrA,Mercure Paris Pont Mirabeau Hotel,3.9,277.0,"10 Avenue Emile Zola, 75015 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8460777,2.2788747000000003,0.036151019606635235,0,Korean Restaurant,French Restaurant,Japanese Restaurant,Train Station,Hotel,Plaza,Boat or Ferry,Bakery,Italian Restaurant,Arcade,red
