,Hostel,Hostel_lat,Hostel_lon,Venue,Venue_lat,Venue_lon,Venue_cat
0,Ibis Styles Paris 16 Sud,48.83649000000001,2.2534046,Mon Bistrot,48.835686437524956,2.2536064105868605,Bistro
1,Ibis Styles Paris 16 Sud,48.83649000000001,2.2534046,Sanki,48.83637124065394,2.251768112182617,Japanese Restaurant
2,Ibis Styles Paris 16 Sud,48.83649000000001,2.2534046,Les Cent Ciels,48.835705698538064,2.2512388468850166,Spa
3,Ibis Styles Paris 16 Sud,48.83649000000001,2.2534046,Radisson Blu Hôtel Paris Boulogne,48.83623314686507,2.252894626983675,Hotel
4,Ibis Styles Paris 16 Sud,48.83649000000001,2.2534046,Sushipark,48.83590374796488,2.25408388681324,Japanese Restaurant
5,Best Western Hotel Ohm,48.83936449093261,2.263396829366684,Marché de l'Avenue de Versailles,48.83894560938148,2.2615127198138745,Market
6,Best Western Hotel Ohm,48.83936449093261,2.263396829366684,La Cantina,48.83978364086265,2.2629221620995925,Italian Restaurant
7,Best Western Hotel Ohm,48.83936449093261,2.263396829366684,Saveurs de Tokyo,48.840602,2.264322,Japanese Restaurant
8,Best Western Hotel Ohm,48.83936449093261,2.263396829366684,Baie d'Halong,48.840081815238534,2.2639212873268675,Vietnamese Restaurant
9,Best Western Hotel Ohm,48.83936449093261,2.263396829366684,Vin et Marée,48.83924482426846,2.2644930978423594,Seafood Restaurant
10,Best Western Hotel Ohm,48.83936449093261,2.263396829366684,Holiday Café,48.83926,2.261061,French Restaurant
11,Best Western Hotel Ohm,48.83936449093261,2.263396829366684,Cafe Louis,48.840791013686264,2.264982143003951,Café
12,Best Western Hotel Ohm,48.83936449093261,2.263396829366684,Al Mina,48.838737011154606,2.2614025554502333,Middle Eastern Restaurant
13,Best Western Hotel Ohm,48.83936449093261,2.263396829366684,Office DEPOT,48.840128,2.263363,Paper / Office Supplies Store
14,Best Western Hotel Ohm,48.83936449093261,2.263396829366684,Franprix,48.84021,2.264,Supermarket
15,Best Western Hotel Ohm,48.83936449093261,2.263396829366684,Pavillon de Jade,48.840350432472434,2.265256941318512,Asian Restaurant
16,Hotel Exelmans,48.84135806383709,2.262674921899631,La Cantina,48.83978364086265,2.2629221620995925,Italian Restaurant
17,Hotel Exelmans,48.84135806383709,2.262674921899631,Saveurs de Tokyo,48.840602,2.264322,Japanese Restaurant
18,Hotel Exelmans,48.84135806383709,2.262674921899631,Baie d'Halong,48.840081815238534,2.2639212873268675,Vietnamese Restaurant
19,Hotel Exelmans,48.84135806383709,2.262674921899631,Cafe Louis,48.840791013686264,2.264982143003951,Café
20,Hotel Exelmans,48.84135806383709,2.262674921899631,Le Comptoir du XVI,48.84082224396379,2.2650507483986164,French Restaurant
21,Hotel Exelmans,48.84135806383709,2.262674921899631,Office DEPOT,48.840128,2.263363,Paper / Office Supplies Store
22,Hotel Exelmans,48.84135806383709,2.262674921899631,Franprix,48.84021,2.264,Supermarket
23,Hôtel Murat,48.83732261790986,2.2587996218198207,L'Affiche,48.837831955813655,2.2595157833069104,French Restaurant
24,Hôtel Murat,48.83732261790986,2.2587996218198207,Les Caves Angevines,48.837782967682756,2.2595152157699663,Wine Bar
25,Hôtel Murat,48.83732261790986,2.2587996218198207,Le Cardinal,48.83762945953403,2.2571654353080395,French Restaurant
26,Hôtel Murat,48.83732261790986,2.2587996218198207,New Delice's,48.838819,2.257686,Middle Eastern Restaurant
27,Hôtel Murat,48.83732261790986,2.2587996218198207,Hoki Sushi,48.837625916250644,2.2580699622631073,Japanese Restaurant
28,Hôtel Murat,48.83732261790986,2.2587996218198207,Indiana Café,48.837709442478804,2.2579345107078552,Bar
29,Hôtel Murat,48.83732261790986,2.2587996218198207,Holiday Inn Paris-Auteuil,48.8379973,2.2585556,Hotel
30,Hôtel Murat,48.83732261790986,2.2587996218198207,Place de la Porte de Saint-Cloud,48.83788068736179,2.2570037841796875,Plaza
31,Hôtel Murat,48.83732261790986,2.2587996218198207,Aux Trois Obus,48.83851153557125,2.2568896065649366,Bistro
32,Hôtel Murat,48.83732261790986,2.2587996218198207,Boulangerie Murat,48.836826640918986,2.259821299907103,Bakery
33,Hôtel Murat,48.83732261790986,2.2587996218198207,Hôtel Murat,48.837322617909855,2.2587996218198207,Hotel
34,Hôtel Murat,48.83732261790986,2.2587996218198207,"Arrêt Porte de Saint-Cloud - Murat [PC,22,62,72,N12,N61]",48.837741670882686,2.258234857990705,Bus Stop
35,Hôtel Murat,48.83732261790986,2.2587996218198207,Le Vélodrome,48.838145497883914,2.25869357585907,Bistro
